# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes

# Warmup Iteration  11: 7783.406 ops/ms
# Warmup Iteration  12: 7779.314 ops/ms
# Warmup Iteration  13: 7789.581 ops/ms
# Warmup Iteration  14: 7782.550 ops/ms
# Warmup Iteration  15: 7778.439 ops/ms
# Warmup Iteration  16: 7793.722 ops/ms
# Warmup Iteration  17: 7804.856 ops/ms
# Warmup Iteration  18: 7811.165 ops/ms
# Warmup Iteration  19: 7796.959 ops/ms
# Warmup Iteration  20: 7810.024 ops/ms
Iteration   1: 7797.536 ops/ms
Iteration   2: 7802.211 ops/ms
Iteration   3: 7809.556 ops/ms
Iteration   4: 7806.891 ops/ms
Iteration   5: 7813.185 ops/ms
Iteration   6: 7800.350 ops/ms
Iteration   7: 7796.927 ops/ms
Iteration   8: 7803.828 ops/ms
Iteration   9: 7794.498 ops/ms
Iteration  10: 7805.634 ops/ms
Iteration  11: 7797.734 ops/ms
Iteration  12: 7808.374 ops/ms
Iteration  13: 7797.684 ops/ms
Iteration  14: 7801.230 ops/ms
Iteration  15: 7808.433 ops/ms
Iteration  16: 7797.762 ops/ms
Iteration  17: 7807.300 ops/ms
Iteration  18: 7801.001 ops/ms
Iteration  19: 7808.014 ops/ms
Iteration  20: 7801.435 ops/ms

# Run progress: 40.00% complete, ETA 00:04:02
# Fork: 5 of 10
# Warmup Iteration   1: 3963.202 ops/ms
# Warmup Iteration   2: 7656.715 ops/ms
# Warmup Iteration   3: 7933.209 ops/ms
# Warmup Iteration   4: 7816.103 ops/ms
# Warmup Iteration   5: 7850.621 ops/ms
# Warmup Iteration   6: 7737.986 ops/ms
# Warmup Iteration   7: 7402.868 ops/ms
# Warmup Iteration   8: 8023.452 ops/ms
# Warmup Iteration   9: 8015.109 ops/ms
# Warmup Iteration  10: 8013.510 ops/ms
# Warmup Iteration  11: 8019.064 ops/ms
# Warmup Iteration  12: 8015.950 ops/ms
# Warmup Iteration  13: 7799.001 ops/ms
# Warmup Iteration  14: 7349.665 ops/ms
# Warmup Iteration  15: 8011.892 ops/ms
# Warmup Iteration  16: 8017.287 ops/ms
# Warmup Iteration  17: 8005.120 ops/ms
# Warmup Iteration  18: 8006.387 ops/ms
# Warmup Iteration  19: 8017.375 ops/ms
# Warmup Iteration  20: 8004.005 ops/ms
Iteration   1: 8008.241 ops/ms
Iteration   2: 8008.376 ops/ms
Iteration   3: 8008.487 ops/ms
Iteration   4: 8007.386 ops/ms
Iteration   5: 8016.058 ops/ms
Iteration   6: 8008.200 ops/ms
Iteration   7: 8011.356 ops/ms
Iteration   8: 8016.742 ops/ms
Iteration   9: 7987.346 ops/ms
Iteration  10: 8007.855 ops/ms
