# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf8GetBytes

# Warmup Iteration  11: 11003.214 ops/ms
# Warmup Iteration  12: 10994.437 ops/ms
# Warmup Iteration  13: 11005.804 ops/ms
# Warmup Iteration  14: 10995.057 ops/ms
# Warmup Iteration  15: 11008.344 ops/ms
# Warmup Iteration  16: 10989.272 ops/ms
# Warmup Iteration  17: 11010.160 ops/ms
# Warmup Iteration  18: 11029.587 ops/ms
# Warmup Iteration  19: 11026.649 ops/ms
# Warmup Iteration  20: 11036.531 ops/ms
Iteration   1: 11014.592 ops/ms
Iteration   2: 11035.209 ops/ms
Iteration   3: 11017.734 ops/ms
Iteration   4: 11043.651 ops/ms
Iteration   5: 11025.383 ops/ms
Iteration   6: 11027.814 ops/ms
Iteration   7: 11036.067 ops/ms
Iteration   8: 11028.404 ops/ms
Iteration   9: 11042.167 ops/ms
Iteration  10: 11025.719 ops/ms
Iteration  11: 11039.966 ops/ms
Iteration  12: 11019.688 ops/ms
Iteration  13: 11036.712 ops/ms
Iteration  14: 11031.273 ops/ms
Iteration  15: 11029.213 ops/ms
Iteration  16: 11037.699 ops/ms
Iteration  17: 10849.644 ops/ms
Iteration  18: 10204.236 ops/ms
Iteration  19: 11043.209 ops/ms
Iteration  20: 11032.292 ops/ms

# Run progress: 40.00% complete, ETA 00:04:02
# Fork: 5 of 10
# Warmup Iteration   1: 6719.211 ops/ms
# Warmup Iteration   2: 9154.873 ops/ms
# Warmup Iteration   3: 9065.097 ops/ms
# Warmup Iteration   4: 10038.064 ops/ms
# Warmup Iteration   5: 10819.650 ops/ms
# Warmup Iteration   6: 10854.123 ops/ms
# Warmup Iteration   7: 10839.517 ops/ms
# Warmup Iteration   8: 10850.168 ops/ms
# Warmup Iteration   9: 10835.664 ops/ms
# Warmup Iteration  10: 10842.297 ops/ms
# Warmup Iteration  11: 10828.892 ops/ms
# Warmup Iteration  12: 10848.713 ops/ms
# Warmup Iteration  13: 10828.074 ops/ms
# Warmup Iteration  14: 10842.554 ops/ms
# Warmup Iteration  15: 10831.782 ops/ms
# Warmup Iteration  16: 10836.155 ops/ms
# Warmup Iteration  17: 9724.571 ops/ms
# Warmup Iteration  18: 10595.468 ops/ms
# Warmup Iteration  19: 10822.525 ops/ms
# Warmup Iteration  20: 9949.730 ops/ms
Iteration   1: 10646.085 ops/ms
Iteration   2: 10817.307 ops/ms
Iteration   3: 10797.788 ops/ms
Iteration   4: 10827.119 ops/ms
Iteration   5: 10804.436 ops/ms
Iteration   6: 10822.106 ops/ms
Iteration   7: 10831.780 ops/ms
Iteration   8: 10810.346 ops/ms
Iteration   9: 10819.601 ops/ms
