Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Original,Fixed,Factor,Wilcoxom,Cliffs Delta Size,Cliffs Delta d
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 3)",0,298666.40249999997,289196.6045,0.9682930590092069,False,negligible,0.011911111111111112
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 4)",0,191616.152,205414.164,1.0720086060385974,False,negligible,-0.058222222222222224
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 5)",0,831966.833,851807.333,1.0238477054769803,False,negligible,-0.04019024970273484
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_EVD_SYMMMATRIX, dataSetCase = 6)",0,471833.5,485898.5,1.0298092441507438,False,negligible,-0.10427458222602586
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 1)",0,164551.8825,154927.3415,0.9415105992482341,False,negligible,0.05671111111111111
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 2)",0,161154.49550000002,161929.2015,1.004807225498714,False,negligible,-0.030133333333333335
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 3)",0,330015.2875,254498.9645,0.7711732581479275,False,negligible,0.08497777777777778
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 4)",0,189558.04700000002,186113.9135,0.9818307185872197,False,negligible,0.036
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 5)",0,835011.625,854106.125,1.0228673463079032,False,negligible,-0.09906866325785245
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsScoringBench,measureWideDataSetsBenchScoringCase," (PCAImplementation = MTJ_SVD_DENSEMATRIX, dataSetCase = 6)",0,489564.5,505124.5,1.0317833503041989,False,negligible,-0.011756227196973109
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 1)",0,4145057.5975,4206144.267,1.0147372305602804,False,negligible,-0.06877462938637643
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 2)",0,4604539.728,4692613.19,1.0191275278752465,False,negligible,-0.023369892174556896
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 3)",0,4777234.389,4508602.998500001,0.9437684298851765,False,small,0.15303140978816654
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 4)",0,5319679.7395,5544793.671500001,1.04231719633956,False,negligible,-0.11340394448502557
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 5)",0,806228001.25,786157709.25,0.9751059353323347,True,medium,0.3806530305873522
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = JAMA, dataSetCase = 6)",0,756574621.75,763089452.5,1.0086109559621903,True,small,-0.24415631848064281
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 1)",0,5333191.712,5453149.057999999,1.0224925996434908,False,negligible,-0.1083344902586885
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 2)",0,5455871.392000001,5641987.182999999,1.0341129358864474,False,negligible,-0.04474546432588391
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 3)",0,5824326.352000001,6249005.041,1.0729146451167129,True,small,-0.296338002792667
"Average time, time/op",ns/op, hex.pca,PCAWideDataSetsTrainingBench,measureWideDataSetsBenchTrainingCase," (PCAImplementation = MTJ_EVD_DENSEMATRIX, dataSetCase = 4)",0,6387227.124500001,6259261.1825,0.9799653371477661,False,negligible,0.14280496712929144
