"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.gs.collections.impl.jmh.SetAddAllTest.gsc","thrpt",1,25,136.242068,3.092361,"ops/s"
"com.gs.collections.impl.jmh.SetAddAllTest.jdk","thrpt",1,25,70.276343,1.940603,"ops/s"
