"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.gs.collections.impl.jmh.BagAddAllTest.gsc","thrpt",1,25,97.890416,2.203983,"ops/s"
"com.gs.collections.impl.jmh.BagAddAllTest.guava","thrpt",1,25,49.145980,0.543815,"ops/s"
