"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.gs.collections.impl.jmh.SetAddAllTest.gsc","thrpt",1,25,134.302606,4.366663,"ops/s"
"com.gs.collections.impl.jmh.SetAddAllTest.jdk","thrpt",1,25,70.823130,1.483444,"ops/s"
