,Benchmark Mode,Class,Cliffs Delta Size,Cliffs Delta d,Experiment,Factor,Fixed,Full params,Measurement Unit,Method,Original,Package,Project,Unnamed: 6,Wilcoxom,New Factor
8,"Throughput, ops/time",HttpMethodMapBenchmark,large,1,LOOP,0.749861898,10.8595,,ops/us,oldMapMixMethods,14.482, io.netty.handler.codec.http,netty,0,TRUE,1.333578894
9,"Throughput, ops/time",HttpMethodMapBenchmark,large,-0.811176041,LOOP,1.146350723,43.782,,ops/us,oldMapUnknownMethods,38.1925, io.netty.handler.codec.http,netty,0,TRUE,-1.146350723
0,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.88863957,1501239.845, (size = 00000),ops/s,recycleSameThread,1689368.667, io.netty.microbench.internal,netty,0,TRUE,1.125315633
1,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.891433074,1500048.159, (size = 00256),ops/s,recycleSameThread,1682737.832, io.netty.microbench.internal,netty,0,TRUE,1.121789205
2,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.891722067,1499763.985, (size = 01024),ops/s,recycleSameThread,1681873.804, io.netty.microbench.internal,netty,0,TRUE,1.121425652
3,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.888532259,1501877.088, (size = 04096),ops/s,recycleSameThread,1690289.883, io.netty.microbench.internal,netty,0,TRUE,1.125451541
4,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.89075254,1491766.759, (size = 16384),ops/s,recycleSameThread,1674726.36, io.netty.microbench.internal,netty,0,TRUE,1.122646251
5,"Throughput, ops/time",RecyclableArrayListBenchmark,large,1,RETU,0.890652125,1497404.567, (size = 65536),ops/s,recycleSameThread,1681245.152, io.netty.microbench.internal,netty,0,TRUE,1.122772822
0,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.99377483,31.768,,ops/us,newMapKnownMethods,31.967, io.netty.handler.codec.http,netty,0,,1.006264165
1,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.886281277,20.544,,ops/us,newMapMixMethods,23.18, io.netty.handler.codec.http,netty,0,,1.128309969
2,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.92162219,41.667,,ops/us,newMapUnknownMethods,45.2105, io.netty.handler.codec.http,netty,0,,1.08504332
3,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.814455527,20.8635,,ops/us,oldMapKnownMethods,25.6165, io.netty.handler.codec.http,netty,0,,1.227814125
4,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.851946305,15.2,,ops/us,oldMapMixMethods,17.8415, io.netty.handler.codec.http,netty,0,,1.173782895
5,"Throughput, ops/time",HttpMethodMapBenchmark,,,SETUP,0.73577588,35.666,,ops/us,oldMapUnknownMethods,48.474, io.netty.handler.codec.http,netty,0,,1.359109516
0,"Average time, time/op",HeadersBenchmark,large,0.961544949,INVO,0.928836672,180.094, (exampleHeader = EIGHT),ns/op,http2AddAllFast,193.892, io.netty.microbench.headers,netty,0,TRUE,-1.076615545
1,"Average time, time/op",HeadersBenchmark,large,0.848514432,INVO,0.948300528,246.579, (exampleHeader = ELEVEN),ns/op,http2AddAllFast,260.022, io.netty.microbench.headers,netty,0,TRUE,-1.054518025
2,"Average time, time/op",HeadersBenchmark,large,0.800126754,INVO,0.897107929,112.57, (exampleHeader = FIVE),ns/op,http2AddAllFast,125.481, io.netty.microbench.headers,netty,0,TRUE,-1.11469308
3,"Average time, time/op",HeadersBenchmark,large,0.885191086,INVO,0.902423509,131.928, (exampleHeader = SIX),ns/op,http2AddAllFast,146.193, io.netty.microbench.headers,netty,0,TRUE,-1.10812716
5,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.838074347,71.445, (exampleHeader = THREE),ns/op,http2AddAllFast,85.249, io.netty.microbench.headers,netty,0,TRUE,-1.193211561
6,"Average time, time/op",HeadersBenchmark,medium,0.382521686,INVO,0.980139017,505.5905, (exampleHeader = TWENTYTWO),ns/op,http2AddAllFast,515.8355, io.netty.microbench.headers,netty,0,TRUE,-1.020263435
7,"Average time, time/op",HeadersBenchmark,large,0.491416466,INVO,0.947867027,140.8265, (exampleHeader = EIGHT),ns/op,http2AddAllFastest,148.572, io.netty.microbench.headers,netty,0,TRUE,-1.055000302
8,"Average time, time/op",HeadersBenchmark,large,0.604138583,INVO,0.955918589,189.703, (exampleHeader = ELEVEN),ns/op,http2AddAllFastest,198.451, io.netty.microbench.headers,netty,0,TRUE,-1.046114189
9,"Average time, time/op",HeadersBenchmark,large,0.769425458,INVO,0.887687694,90.569, (exampleHeader = FIVE),ns/op,http2AddAllFastest,102.028, io.netty.microbench.headers,netty,0,TRUE,-1.12652232
10,"Average time, time/op",HeadersBenchmark,large,0.670353347,INVO,0.914502845,107.701, (exampleHeader = SIX),ns/op,http2AddAllFastest,117.77, io.netty.microbench.headers,netty,0,TRUE,-1.093490311
12,"Average time, time/op",HeadersBenchmark,large,0.943119232,INVO,0.85825424,60.676, (exampleHeader = THREE),ns/op,http2AddAllFastest,70.697, io.netty.microbench.headers,netty,0,TRUE,-1.16515591
13,"Average time, time/op",HeadersBenchmark,negligible,-0.081664263,INVO,0.999450572,369.272, (exampleHeader = TWENTYTWO),ns/op,http2AddAllFastest,369.475, io.netty.microbench.headers,netty,0,TRUE,-1.00054973
14,"Average time, time/op",HeadersBenchmark,large,0.86226167,INVO,0.947794114,206.476, (exampleHeader = EIGHT),ns/op,http2AddAllSlow,217.849, io.netty.microbench.headers,netty,0,TRUE,-1.055081462
15,"Average time, time/op",HeadersBenchmark,large,0.90989588,INVO,0.954618461,275.185, (exampleHeader = ELEVEN),ns/op,http2AddAllSlow,288.267, io.netty.microbench.headers,netty,0,TRUE,-1.047538928
16,"Average time, time/op",HeadersBenchmark,large,0.920201866,INVO,0.909616006,126.614, (exampleHeader = FIVE),ns/op,http2AddAllSlow,139.195, io.netty.microbench.headers,netty,0,TRUE,-1.099364999
17,"Average time, time/op",HeadersBenchmark,large,0.883997676,INVO,0.932594009,151.706, (exampleHeader = SIX),ns/op,http2AddAllSlow,162.671, io.netty.microbench.headers,netty,0,TRUE,-1.072277959
19,"Average time, time/op",HeadersBenchmark,large,0.972362949,INVO,0.875908492,82.4335, (exampleHeader = THREE),ns/op,http2AddAllSlow,94.112, io.netty.microbench.headers,netty,0,TRUE,-1.141671772
20,"Average time, time/op",HeadersBenchmark,large,0.528398714,INVO,0.977531902,563.2705, (exampleHeader = TWENTYTWO),ns/op,http2AddAllSlow,576.217, io.netty.microbench.headers,netty,0,TRUE,-1.022984516
21,"Average time, time/op",HeadersBenchmark,large,0.859886578,INVO,0.909896229,71.9, (exampleHeader = EIGHT),ns/op,http2Get,79.02, io.netty.microbench.headers,netty,0,TRUE,-1.099026426
22,"Average time, time/op",HeadersBenchmark,large,0.810183855,INVO,0.956574955,103.5545, (exampleHeader = ELEVEN),ns/op,http2Get,108.2555, io.netty.microbench.headers,netty,0,TRUE,-1.045396385
23,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.806367144,46.808, (exampleHeader = FIVE),ns/op,http2Get,58.048, io.netty.microbench.headers,netty,0,TRUE,-1.240129892
24,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.817925646,51.086, (exampleHeader = SIX),ns/op,http2Get,62.458, io.netty.microbench.headers,netty,0,TRUE,-1.222605019
26,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.643244453,25.861, (exampleHeader = THREE),ns/op,http2Get,40.204, io.netty.microbench.headers,netty,0,TRUE,-1.554618924
27,"Average time, time/op",HeadersBenchmark,large,0.475531389,INVO,0.957521062,219.3585, (exampleHeader = TWENTYTWO),ns/op,http2Get,229.09, io.netty.microbench.headers,netty,0,TRUE,-1.044363451
