Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Factor,Fixed,Original
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = sequential, strategy = none)",0,1.032894737,0.157,0.152
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = enumerate, strategy = none)",0,1.032679739,0.158,0.153
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = uniform, strategy = none)",0,1.032679739,0.158,0.153
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = zipfLow, strategy = none)",0,1.032679739,0.158,0.153
"Average time, time/op",ms/op, io.druid.benchmark,FloatCompressionBenchmark,readSkipping," (dirPath = floatCompress/, file = zipfHigh, strategy = none)",0,1.032467532,0.159,0.154
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = uniform, format = auto, strategy = lz4)",0,1.023961661,0.641,0.626
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = sequential, format = longs, strategy = none)",0,1.021276596,0.24,0.235
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = enumerate, format = auto, strategy = lz4)",0,1.012019231,1.263,1.248
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = sequential, format = auto, strategy = lz4)",0,1.007653061,1.185,1.176
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfHigh, format = auto, strategy = lz4)",0,1.005492184,2.38,2.367
"Average time, time/op",ms/op, io.druid.benchmark,LongCompressionBenchmark,readSkipping," (dirPath = longCompress/, file = zipfLow, format = auto, strategy = lz4)",0,1.004924953,4.285,4.264
