"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,4.850536,0.058723,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.412965,0.061496,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.725143,0.007623,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.474862,0.033661,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.626926,0.036446,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.116409,0.011880,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.198922,0.006803,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.944423,0.002986,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.961409,0.019709,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.938628,0.021496,"ops/s",false,100000
