"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: megamorphicWarmupLevel"
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala","thrpt",1,20,16.284066,0.180110,"ops/s",0
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala","thrpt",1,20,12.629324,0.576880,"ops/s",1
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala","thrpt",1,20,12.846150,0.920959,"ops/s",2
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_lazy_scala","thrpt",1,20,13.203435,0.337442,"ops/s",3
