"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,5.515003,0.049422,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.388980,0.020922,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.756024,0.005540,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.513090,0.032048,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.543784,0.031185,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,3.193727,0.042868,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,2.183175,0.011846,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,1.928769,0.002241,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.942804,0.017324,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.put","thrpt",1,50,0.929586,0.027672,"ops/s",false,100000
