# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes

# Warmup Iteration  11: 7436.501 ops/ms
# Warmup Iteration  12: 7437.097 ops/ms
# Warmup Iteration  13: 7448.660 ops/ms
# Warmup Iteration  14: 7439.490 ops/ms
# Warmup Iteration  15: 7448.544 ops/ms
# Warmup Iteration  16: 7437.035 ops/ms
# Warmup Iteration  17: 6770.848 ops/ms
# Warmup Iteration  18: 6815.134 ops/ms
# Warmup Iteration  19: 7448.822 ops/ms
# Warmup Iteration  20: 7447.151 ops/ms
Iteration   1: 7440.206 ops/ms
Iteration   2: 6619.319 ops/ms
Iteration   3: 7335.082 ops/ms
Iteration   4: 7427.586 ops/ms
Iteration   5: 7444.793 ops/ms
Iteration   6: 7441.470 ops/ms
Iteration   7: 7426.713 ops/ms
Iteration   8: 7271.964 ops/ms
Iteration   9: 6835.128 ops/ms
Iteration  10: 7437.812 ops/ms
Iteration  11: 7442.847 ops/ms
Iteration  12: 7398.585 ops/ms
Iteration  13: 7447.019 ops/ms
Iteration  14: 7445.690 ops/ms
Iteration  15: 7439.567 ops/ms
Iteration  16: 7439.068 ops/ms
Iteration  17: 7436.015 ops/ms
Iteration  18: 7447.612 ops/ms
Iteration  19: 7440.728 ops/ms
Iteration  20: 7438.631 ops/ms

# Run progress: 40.00% complete, ETA 00:04:02
# Fork: 5 of 10
# Warmup Iteration   1: 5171.956 ops/ms
# Warmup Iteration   2: 7899.820 ops/ms
# Warmup Iteration   3: 7365.730 ops/ms
# Warmup Iteration   4: 6944.286 ops/ms
# Warmup Iteration   5: 7794.573 ops/ms
# Warmup Iteration   6: 6785.995 ops/ms
# Warmup Iteration   7: 7637.212 ops/ms
# Warmup Iteration   8: 8008.496 ops/ms
# Warmup Iteration   9: 8007.214 ops/ms
# Warmup Iteration  10: 8007.205 ops/ms
# Warmup Iteration  11: 8006.060 ops/ms
# Warmup Iteration  12: 8000.774 ops/ms
# Warmup Iteration  13: 8005.221 ops/ms
# Warmup Iteration  14: 7662.617 ops/ms
# Warmup Iteration  15: 7255.931 ops/ms
# Warmup Iteration  16: 7143.236 ops/ms
# Warmup Iteration  17: 7973.619 ops/ms
# Warmup Iteration  18: 7977.237 ops/ms
# Warmup Iteration  19: 7385.566 ops/ms
# Warmup Iteration  20: 7219.690 ops/ms
Iteration   1: 7975.422 ops/ms
Iteration   2: 7586.315 ops/ms
Iteration   3: 7530.749 ops/ms
Iteration   4: 7975.177 ops/ms
Iteration   5: 7975.153 ops/ms
Iteration   6: 7626.381 ops/ms
Iteration   7: 7548.070 ops/ms
Iteration   8: 7970.905 ops/ms
Iteration   9: 7972.315 ops/ms
Iteration  10: 7978.310 ops/ms
Iteration  11: 7975.497 ops/ms
Iteration  12: 7970.072 ops/ms
Iteration  13: 7975.777 ops/ms
Iteration  14: 7967.678 ops/ms
Iteration  15: 7972.200 ops/ms
Iteration  16: 7975.003 ops/ms
Iteration  17: 7973.251 ops/ms
Iteration  18: 7974.112 ops/ms
Iteration  19: 7971.062 ops/ms
Iteration  20: 7968.026 ops/ms

# Run progress: 50.00% complete, ETA 00:03:22
# Fork: 6 of 10
# Warmup Iteration   1: 3924.174 ops/ms
# Warmup Iteration   2: 7696.149 ops/ms
# Warmup Iteration   3: 7695.903 ops/ms
# Warmup Iteration   4: 7630.578 ops/ms
# Warmup Iteration   5: 7688.438 ops/ms
# Warmup Iteration   6: 7022.428 ops/ms
# Warmup Iteration   7: 6560.944 ops/ms
# Warmup Iteration   8: 7458.660 ops/ms
# Warmup Iteration   9: 7176.037 ops/ms
# Warmup Iteration  10: 7365.197 ops/ms
# Warmup Iteration  11: 7695.342 ops/ms
# Warmup Iteration  12: 7732.365 ops/ms
# Warmup Iteration  13: 7747.666 ops/ms
