# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes

# Warmup Iteration  11: 7978.690 ops/ms
# Warmup Iteration  12: 7972.686 ops/ms
# Warmup Iteration  13: 7983.629 ops/ms
# Warmup Iteration  14: 7965.154 ops/ms
# Warmup Iteration  15: 7967.353 ops/ms
# Warmup Iteration  16: 7010.645 ops/ms
# Warmup Iteration  17: 7961.461 ops/ms
# Warmup Iteration  18: 7975.616 ops/ms
# Warmup Iteration  19: 7961.109 ops/ms
# Warmup Iteration  20: 7961.974 ops/ms
Iteration   1: 7974.904 ops/ms
Iteration   2: 7957.843 ops/ms
Iteration   3: 7959.763 ops/ms
Iteration   4: 7971.886 ops/ms
Iteration   5: 7960.971 ops/ms
Iteration   6: 7968.062 ops/ms
Iteration   7: 7968.797 ops/ms
Iteration   8: 7961.419 ops/ms
Iteration   9: 7969.062 ops/ms
Iteration  10: 7551.279 ops/ms
Iteration  11: 7460.736 ops/ms
Iteration  12: 7963.406 ops/ms
Iteration  13: 7964.143 ops/ms
Iteration  14: 7964.879 ops/ms
Iteration  15: 7125.856 ops/ms
Iteration  16: 7970.907 ops/ms
Iteration  17: 7959.124 ops/ms
Iteration  18: 7971.614 ops/ms
Iteration  19: 7964.032 ops/ms
Iteration  20: 7958.171 ops/ms

# Run progress: 40.00% complete, ETA 00:04:02
# Fork: 5 of 10
# Warmup Iteration   1: 4705.372 ops/ms
# Warmup Iteration   2: 7312.363 ops/ms
# Warmup Iteration   3: 7760.943 ops/ms
# Warmup Iteration   4: 7881.485 ops/ms
# Warmup Iteration   5: 7881.052 ops/ms
# Warmup Iteration   6: 7952.277 ops/ms
# Warmup Iteration   7: 7942.469 ops/ms
# Warmup Iteration   8: 7951.882 ops/ms
# Warmup Iteration   9: 7958.279 ops/ms
# Warmup Iteration  10: 7944.234 ops/ms
# Warmup Iteration  11: 7943.357 ops/ms
# Warmup Iteration  12: 7959.413 ops/ms
# Warmup Iteration  13: 7950.167 ops/ms
# Warmup Iteration  14: 7942.417 ops/ms
# Warmup Iteration  15: 7962.832 ops/ms
# Warmup Iteration  16: 7940.012 ops/ms
# Warmup Iteration  17: 7941.377 ops/ms
# Warmup Iteration  18: 7937.124 ops/ms
# Warmup Iteration  19: 7933.967 ops/ms
# Warmup Iteration  20: 7942.367 ops/ms
Iteration   1: 7936.415 ops/ms
Iteration   2: 7930.497 ops/ms
Iteration   3: 7939.339 ops/ms
Iteration   4: 7935.412 ops/ms
Iteration   5: 7934.739 ops/ms
Iteration   6: 7942.200 ops/ms
Iteration   7: 7944.094 ops/ms
Iteration   8: 7888.666 ops/ms
Iteration   9: 7951.787 ops/ms
Iteration  10: 7951.110 ops/ms
Iteration  11: 7956.155 ops/ms
Iteration  12: 7935.459 ops/ms
Iteration  13: 7944.888 ops/ms
Iteration  14: 7957.501 ops/ms
Iteration  15: 7944.609 ops/ms
Iteration  16: 7936.158 ops/ms
Iteration  17: 7948.898 ops/ms
Iteration  18: 7940.075 ops/ms
Iteration  19: 7952.864 ops/ms
Iteration  20: 7943.363 ops/ms

# Run progress: 50.00% complete, ETA 00:03:22
# Fork: 6 of 10
# Warmup Iteration   1: 5209.129 ops/ms
# Warmup Iteration   2: 7834.110 ops/ms
# Warmup Iteration   3: 7836.834 ops/ms
# Warmup Iteration   4: 7836.530 ops/ms
# Warmup Iteration   5: 7878.345 ops/ms
# Warmup Iteration   6: 7883.561 ops/ms
# Warmup Iteration   7: 7902.589 ops/ms
# Warmup Iteration   8: 7715.061 ops/ms
# Warmup Iteration   9: 7896.346 ops/ms
# Warmup Iteration  10: 7909.056 ops/ms
# Warmup Iteration  11: 7900.491 ops/ms
# Warmup Iteration  12: 7909.307 ops/ms
# Warmup Iteration  13: 7901.736 ops/ms
# Warmup Iteration  14: 7899.173 ops/ms
# Warmup Iteration  15: 7913.091 ops/ms
# Warmup Iteration  16: 7886.398 ops/ms
# Warmup Iteration  17: 7852.576 ops/ms
# Warmup Iteration  18: 7857.243 ops/ms
# Warmup Iteration  19: 7847.698 ops/ms
# Warmup Iteration  20: 7898.752 ops/ms
Iteration   1: 7884.385 ops/ms
Iteration   2: 7830.733 ops/ms
Iteration   3: 7854.030 ops/ms
Iteration   4: 7881.347 ops/ms
Iteration   5: 7857.618 ops/ms
Iteration   6: 7865.234 ops/ms
Iteration   7: 7867.226 ops/ms
Iteration   8: 7895.758 ops/ms
Iteration   9: 7876.931 ops/ms
Iteration  10: 7896.011 ops/ms
Iteration  11: 7892.469 ops/ms
Iteration  12: 7890.689 ops/ms
Iteration  13: 7897.504 ops/ms
Iteration  14: 7879.795 ops/ms
Iteration  15: 7010.403 ops/ms
Iteration  16: 7878.541 ops/ms
Iteration  17: 7893.963 ops/ms
Iteration  18: 7186.564 ops/ms
Iteration  19: 6683.010 ops/ms
Iteration  20: 7631.392 ops/ms

# Run progress: 60.00% complete, ETA 00:02:41
# Fork: 7 of 10
# Warmup Iteration   1: 5126.477 ops/ms
# Warmup Iteration   2: 7547.999 ops/ms
# Warmup Iteration   3: 7052.722 ops/ms
# Warmup Iteration   4: 7514.300 ops/ms
# Warmup Iteration   5: 7834.369 ops/ms
# Warmup Iteration   6: 7735.047 ops/ms
# Warmup Iteration   7: 7241.934 ops/ms
# Warmup Iteration   8: 7880.972 ops/ms
# Warmup Iteration   9: 7880.793 ops/ms
# Warmup Iteration  10: 7884.519 ops/ms
# Warmup Iteration  11: 7877.438 ops/ms
# Warmup Iteration  12: 7886.356 ops/ms
# Warmup Iteration  13: 7873.643 ops/ms
# Warmup Iteration  14: 7875.619 ops/ms
# Warmup Iteration  15: 7883.786 ops/ms
# Warmup Iteration  16: 7873.681 ops/ms
# Warmup Iteration  17: 7871.637 ops/ms
# Warmup Iteration  18: 7892.792 ops/ms
# Warmup Iteration  19: 7892.539 ops/ms
# Warmup Iteration  20: 7899.794 ops/ms
Iteration   1: 7891.193 ops/ms
Iteration   2: 7890.022 ops/ms
Iteration   3: 7895.942 ops/ms
Iteration   4: 7886.591 ops/ms
Iteration   5: 7893.024 ops/ms
Iteration   6: 7864.335 ops/ms
Iteration   7: 7888.005 ops/ms
Iteration   8: 7892.223 ops/ms
Iteration   9: 7887.937 ops/ms
Iteration  10: 7896.229 ops/ms
Iteration  11: 7887.573 ops/ms
Iteration  12: 7887.828 ops/ms
Iteration  13: 7896.614 ops/ms
Iteration  14: 7885.910 ops/ms
Iteration  15: 7885.887 ops/ms
Iteration  16: 7890.279 ops/ms
Iteration  17: 7884.895 ops/ms
Iteration  18: 7892.204 ops/ms
Iteration  19: 7887.635 ops/ms
Iteration  20: 7881.480 ops/ms

# Run progress: 70.00% complete, ETA 00:02:01
# Fork: 8 of 10
# Warmup Iteration   1: 3951.311 ops/ms
# Warmup Iteration   2: 7673.710 ops/ms
# Warmup Iteration   3: 7635.428 ops/ms
# Warmup Iteration   4: 6910.025 ops/ms
# Warmup Iteration   5: 7698.984 ops/ms
# Warmup Iteration   6: 7507.549 ops/ms
# Warmup Iteration   7: 6677.142 ops/ms
# Warmup Iteration   8: 7728.364 ops/ms
# Warmup Iteration   9: 7729.054 ops/ms
# Warmup Iteration  10: 7743.340 ops/ms
# Warmup Iteration  11: 7724.537 ops/ms
# Warmup Iteration  12: 7740.250 ops/ms
# Warmup Iteration  13: 7738.075 ops/ms
# Warmup Iteration  14: 7736.747 ops/ms
# Warmup Iteration  15: 7724.894 ops/ms
# Warmup Iteration  16: 7743.856 ops/ms
# Warmup Iteration  17: 7804.494 ops/ms
# Warmup Iteration  18: 7798.153 ops/ms
# Warmup Iteration  19: 7814.429 ops/ms
# Warmup Iteration  20: 7803.599 ops/ms
Iteration   1: 7810.308 ops/ms
Iteration   2: 7799.946 ops/ms
Iteration   3: 7805.115 ops/ms
Iteration   4: 7789.896 ops/ms
Iteration   5: 7806.898 ops/ms
Iteration   6: 7810.481 ops/ms
Iteration   7: 7803.814 ops/ms
Iteration   8: 6683.794 ops/ms
Iteration   9: 7814.903 ops/ms
Iteration  10: 7802.041 ops/ms
Iteration  11: 7073.587 ops/ms
Iteration  12: 7805.333 ops/ms
Iteration  13: 7795.208 ops/ms
Iteration  14: 7799.516 ops/ms
Iteration  15: 7800.101 ops/ms
Iteration  16: 7796.855 ops/ms
Iteration  17: 7796.059 ops/ms
Iteration  18: 7804.341 ops/ms
Iteration  19: 7788.648 ops/ms
Iteration  20: 7797.037 ops/ms

# Run progress: 80.00% complete, ETA 00:01:20
# Fork: 9 of 10
# Warmup Iteration   1: 5230.251 ops/ms
# Warmup Iteration   2: 7496.579 ops/ms
# Warmup Iteration   3: 7055.161 ops/ms
# Warmup Iteration   4: 7641.134 ops/ms
# Warmup Iteration   5: 7018.947 ops/ms
# Warmup Iteration   6: 7865.573 ops/ms
# Warmup Iteration   7: 7870.690 ops/ms
# Warmup Iteration   8: 7863.708 ops/ms
# Warmup Iteration   9: 7865.052 ops/ms
# Warmup Iteration  10: 7840.471 ops/ms
# Warmup Iteration  11: 7876.254 ops/ms
# Warmup Iteration  12: 7883.708 ops/ms
# Warmup Iteration  13: 7877.425 ops/ms
# Warmup Iteration  14: 7872.060 ops/ms
# Warmup Iteration  15: 7878.262 ops/ms
# Warmup Iteration  16: 7874.078 ops/ms
# Warmup Iteration  17: 7896.823 ops/ms
# Warmup Iteration  18: 7906.915 ops/ms
# Warmup Iteration  19: 7839.640 ops/ms
# Warmup Iteration  20: 7900.375 ops/ms
Iteration   1: 7899.595 ops/ms
Iteration   2: 7650.057 ops/ms
Iteration   3: 7242.871 ops/ms
Iteration   4: 7898.951 ops/ms
Iteration   5: 7895.812 ops/ms
Iteration   6: 7889.792 ops/ms
Iteration   7: 7904.100 ops/ms
Iteration   8: 7887.321 ops/ms
Iteration   9: 7897.771 ops/ms
Iteration  10: 7890.968 ops/ms
Iteration  11: 7892.435 ops/ms
Iteration  12: 7895.579 ops/ms
Iteration  13: 7900.458 ops/ms
Iteration  14: 7897.960 ops/ms
Iteration  15: 7454.569 ops/ms
Iteration  16: 7562.361 ops/ms
Iteration  17: 7899.228 ops/ms
Iteration  18: 7896.055 ops/ms
Iteration  19: 7898.925 ops/ms
Iteration  20: 7887.926 ops/ms

# Run progress: 90.00% complete, ETA 00:00:40
# Fork: 10 of 10
# Warmup Iteration   1: 5211.570 ops/ms
# Warmup Iteration   2: 7796.006 ops/ms
# Warmup Iteration   3: 7786.529 ops/ms
# Warmup Iteration   4: 7783.063 ops/ms
# Warmup Iteration   5: 7839.242 ops/ms
# Warmup Iteration   6: 7858.414 ops/ms
# Warmup Iteration   7: 7874.132 ops/ms
# Warmup Iteration   8: 7862.502 ops/ms
# Warmup Iteration   9: 7858.673 ops/ms
# Warmup Iteration  10: 7863.465 ops/ms
# Warmup Iteration  11: 7854.916 ops/ms
# Warmup Iteration  12: 7862.718 ops/ms
# Warmup Iteration  13: 7797.676 ops/ms
# Warmup Iteration  14: 7866.601 ops/ms
# Warmup Iteration  15: 7881.411 ops/ms
