# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16GetBytes

# Warmup Iteration  11: 1228.927 ops/ms
# Warmup Iteration  12: 1230.245 ops/ms
# Warmup Iteration  13: 1229.143 ops/ms
# Warmup Iteration  14: 1229.127 ops/ms
# Warmup Iteration  15: 1229.791 ops/ms
# Warmup Iteration  16: 1221.652 ops/ms
# Warmup Iteration  17: 1208.559 ops/ms
# Warmup Iteration  18: 1210.476 ops/ms
# Warmup Iteration  19: 1208.283 ops/ms
# Warmup Iteration  20: 1210.701 ops/ms
Iteration   1: 1209.031 ops/ms
Iteration   2: 1209.707 ops/ms
Iteration   3: 1209.270 ops/ms
Iteration   4: 1209.231 ops/ms
Iteration   5: 1210.551 ops/ms
Iteration   6: 1209.283 ops/ms
Iteration   7: 1210.691 ops/ms
Iteration   8: 1209.091 ops/ms
Iteration   9: 1208.871 ops/ms
Iteration  10: 1210.339 ops/ms
Iteration  11: 1209.000 ops/ms
Iteration  12: 1210.841 ops/ms
Iteration  13: 1209.438 ops/ms
Iteration  14: 1210.731 ops/ms
Iteration  15: 1208.412 ops/ms
Iteration  16: 1208.967 ops/ms
Iteration  17: 1210.665 ops/ms
Iteration  18: 1208.867 ops/ms
Iteration  19: 1210.292 ops/ms
Iteration  20: 1208.816 ops/ms

# Run progress: 40.00% complete, ETA 00:04:02
# Fork: 5 of 10
# Warmup Iteration   1: 1284.963 ops/ms
# Warmup Iteration   2: 1225.041 ops/ms
# Warmup Iteration   3: 1234.303 ops/ms
# Warmup Iteration   4: 1049.028 ops/ms
# Warmup Iteration   5: 1116.353 ops/ms
# Warmup Iteration   6: 1234.717 ops/ms
# Warmup Iteration   7: 1241.395 ops/ms
# Warmup Iteration   8: 1240.106 ops/ms
# Warmup Iteration   9: 1239.991 ops/ms
# Warmup Iteration  10: 1238.558 ops/ms
# Warmup Iteration  11: 1239.978 ops/ms
# Warmup Iteration  12: 1096.361 ops/ms
# Warmup Iteration  13: 1197.574 ops/ms
# Warmup Iteration  14: 1241.389 ops/ms
# Warmup Iteration  15: 1240.358 ops/ms
# Warmup Iteration  16: 1240.163 ops/ms
# Warmup Iteration  17: 1224.001 ops/ms
# Warmup Iteration  18: 1220.881 ops/ms
# Warmup Iteration  19: 1222.362 ops/ms
# Warmup Iteration  20: 1222.666 ops/ms
Iteration   1: 1197.689 ops/ms
Iteration   2: 1151.461 ops/ms
Iteration   3: 1221.175 ops/ms
Iteration   4: 1222.375 ops/ms
Iteration   5: 1200.583 ops/ms
Iteration   6: 1221.349 ops/ms
Iteration   7: 1222.134 ops/ms
Iteration   8: 1221.615 ops/ms
Iteration   9: 1222.344 ops/ms
Iteration  10: 1221.355 ops/ms
Iteration  11: 1220.975 ops/ms
Iteration  12: 1223.013 ops/ms
Iteration  13: 1221.947 ops/ms
Iteration  14: 1220.956 ops/ms
Iteration  15: 1222.880 ops/ms
Iteration  16: 1222.375 ops/ms
Iteration  17: 1223.478 ops/ms
Iteration  18: 1221.906 ops/ms
Iteration  19: 1221.199 ops/ms
Iteration  20: 1181.657 ops/ms

# Run progress: 50.00% complete, ETA 00:03:22
# Fork: 6 of 10
# Warmup Iteration   1: 1912.344 ops/ms
# Warmup Iteration   2: 2372.864 ops/ms
# Warmup Iteration   3: 2883.005 ops/ms
# Warmup Iteration   4: 2738.320 ops/ms
# Warmup Iteration   5: 2684.836 ops/ms
# Warmup Iteration   6: 2959.093 ops/ms
# Warmup Iteration   7: 2958.716 ops/ms
# Warmup Iteration   8: 2956.911 ops/ms
# Warmup Iteration   9: 2956.530 ops/ms
# Warmup Iteration  10: 2956.314 ops/ms
# Warmup Iteration  11: 2953.983 ops/ms
# Warmup Iteration  12: 2956.378 ops/ms
# Warmup Iteration  13: 2959.919 ops/ms
# Warmup Iteration  14: 2956.557 ops/ms
# Warmup Iteration  15: 2705.186 ops/ms
# Warmup Iteration  16: 2959.169 ops/ms
# Warmup Iteration  17: 2958.672 ops/ms
# Warmup Iteration  18: 2960.471 ops/ms
# Warmup Iteration  19: 2959.854 ops/ms
# Warmup Iteration  20: 2960.623 ops/ms
Iteration   1: 2959.703 ops/ms
Iteration   2: 2959.558 ops/ms
Iteration   3: 2961.024 ops/ms
Iteration   4: 2946.324 ops/ms
Iteration   5: 2959.798 ops/ms
Iteration   6: 2958.946 ops/ms
Iteration   7: 2959.225 ops/ms
Iteration   8: 2960.594 ops/ms
Iteration   9: 2958.032 ops/ms
Iteration  10: 2963.964 ops/ms
Iteration  11: 2960.926 ops/ms
Iteration  12: 2963.450 ops/ms
Iteration  13: 2961.950 ops/ms
Iteration  14: 2816.627 ops/ms
Iteration  15: 2868.786 ops/ms
Iteration  16: 2964.672 ops/ms
Iteration  17: 2724.273 ops/ms
Iteration  18: 2616.388 ops/ms
Iteration  19: 2958.087 ops/ms
Iteration  20: 2960.020 ops/ms

# Run progress: 60.00% complete, ETA 00:02:41
# Fork: 7 of 10
# Warmup Iteration   1: 795.339 ops/ms
# Warmup Iteration   2: 1111.771 ops/ms
# Warmup Iteration   3: 1029.909 ops/ms
# Warmup Iteration   4: 1099.175 ops/ms
# Warmup Iteration   5: 1208.742 ops/ms
# Warmup Iteration   6: 1213.674 ops/ms
# Warmup Iteration   7: 1212.521 ops/ms
# Warmup Iteration   8: 1150.096 ops/ms
# Warmup Iteration   9: 1189.394 ops/ms
# Warmup Iteration  10: 1215.483 ops/ms
# Warmup Iteration  11: 1133.277 ops/ms
# Warmup Iteration  12: 1142.256 ops/ms
# Warmup Iteration  13: 1217.056 ops/ms
# Warmup Iteration  14: 1216.641 ops/ms
# Warmup Iteration  15: 1120.605 ops/ms
# Warmup Iteration  16: 1216.771 ops/ms
# Warmup Iteration  17: 1233.976 ops/ms
# Warmup Iteration  18: 1230.235 ops/ms
# Warmup Iteration  19: 1234.440 ops/ms
# Warmup Iteration  20: 1230.371 ops/ms
Iteration   1: 1231.429 ops/ms
Iteration   2: 1232.841 ops/ms
Iteration   3: 1231.334 ops/ms
Iteration   4: 1216.864 ops/ms
Iteration   5: 1138.525 ops/ms
Iteration   6: 1231.586 ops/ms
Iteration   7: 1233.222 ops/ms
Iteration   8: 1231.706 ops/ms
Iteration   9: 1231.394 ops/ms
Iteration  10: 1233.152 ops/ms
Iteration  11: 1232.023 ops/ms
Iteration  12: 1233.066 ops/ms
Iteration  13: 1231.564 ops/ms
Iteration  14: 1077.058 ops/ms
Iteration  15: 1117.760 ops/ms
Iteration  16: 1232.907 ops/ms
Iteration  17: 1231.477 ops/ms
Iteration  18: 1231.820 ops/ms
Iteration  19: 1232.944 ops/ms
Iteration  20: 1231.592 ops/ms

# Run progress: 70.00% complete, ETA 00:02:01
# Fork: 8 of 10
# Warmup Iteration   1: 1109.268 ops/ms
# Warmup Iteration   2: 1135.970 ops/ms
# Warmup Iteration   3: 1221.964 ops/ms
# Warmup Iteration   4: 1226.497 ops/ms
# Warmup Iteration   5: 1181.066 ops/ms
# Warmup Iteration   6: 1127.140 ops/ms
# Warmup Iteration   7: 1166.560 ops/ms
# Warmup Iteration   8: 1050.995 ops/ms
# Warmup Iteration   9: 1179.188 ops/ms
# Warmup Iteration  10: 1232.086 ops/ms
# Warmup Iteration  11: 1235.266 ops/ms
# Warmup Iteration  12: 1166.886 ops/ms
# Warmup Iteration  13: 1229.780 ops/ms
# Warmup Iteration  14: 1230.681 ops/ms
# Warmup Iteration  15: 1237.142 ops/ms
# Warmup Iteration  16: 1235.848 ops/ms
# Warmup Iteration  17: 1214.533 ops/ms
