"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc","thrpt",1,25,69.899503,1.078590,"ops/s"
"com.gs.collections.impl.jmh.RejectTest.serial_eager_gsc_select_predicates_not","thrpt",1,25,62.326212,1.731192,"ops/s"
"com.gs.collections.impl.jmh.RejectTest.serial_lazy_gsc","thrpt",1,25,58.730871,1.430042,"ops/s"
"com.gs.collections.impl.jmh.RejectTest.serial_lazy_jdk_lambda_negate","thrpt",1,25,47.672495,0.536028,"ops/s"
"com.gs.collections.impl.jmh.RejectTest.serial_lazy_jdk_lambda_not","thrpt",1,25,68.597796,0.648868,"ops/s"
"com.gs.collections.impl.jmh.RejectTest.serial_lazy_streams_gsc_lambda_negate","thrpt",1,25,48.570912,0.872039,"ops/s"
"com.gs.collections.impl.jmh.RejectTest.serial_lazy_streams_gsc_lambda_not","thrpt",1,25,53.127434,0.804577,"ops/s"
