"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: megamorphicWarmupLevel"
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala","thrpt",1,20,39.087431,0.756791,"ops/s",0
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala","thrpt",1,20,37.752431,0.283161,"ops/s",1
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala","thrpt",1,20,37.446592,0.369496,"ops/s",2
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala","thrpt",1,20,37.705218,0.404141,"ops/s",3
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded","thrpt",1,20,60.935169,0.670698,"ops/s",0
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded","thrpt",1,20,59.629980,0.893150,"ops/s",1
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded","thrpt",1,20,59.956297,0.762957,"ops/s",2
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.parallel_lazy_scala_hand_coded","thrpt",1,20,60.088999,0.623389,"ops/s",3
