"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: megamorphicWarmupLevel"
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala","thrpt",1,20,11.718130,0.248177,"ops/s",0
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala","thrpt",1,20,9.294935,0.323293,"ops/s",1
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala","thrpt",1,20,9.392685,0.220484,"ops/s",2
"com.gs.collections.impl.jmh.FunctionalInterfaceTest.serial_eager_scala","thrpt",1,20,9.292773,0.624907,"ops/s",3
