"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fullyRandom","Param: mapSizeDividedBy16000"
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,4.887977,0.016459,"ops/s",true,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.387089,0.065586,"ops/s",true,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.767538,0.006588,"ops/s",true,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.497766,0.020937,"ops/s",true,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.667759,0.039712,"ops/s",true,100000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,3.121474,0.019209,"ops/s",false,1
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,2.202525,0.004295,"ops/s",false,10
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,1.937845,0.004499,"ops/s",false,100
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.935983,0.035815,"ops/s",false,10000
"com.gs.collections.impl.jmh.LongIntMapTest.presizedPut","thrpt",1,50,0.918612,0.038055,"ops/s",false,100000
