"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt","sample",1,6246685,273.772124,1.209194,"ns/op"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt:synchronizedSimpleDateFmt·p0.00","sample",1,1,246.000000,NaN,"ns/op"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt:synchronizedSimpleDateFmt·p0.50","sample",1,1,260.000000,NaN,"ns/op"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt:synchronizedSimpleDateFmt·p0.90","sample",1,1,300.000000,NaN,"ns/op"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt:synchronizedSimpleDateFmt·p0.95","sample",1,1,306.000000,NaN,"ns/op"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt:synchronizedSimpleDateFmt·p0.99","sample",1,1,351.000000,NaN,"ns/op"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt:synchronizedSimpleDateFmt·p0.999","sample",1,1,802.000000,NaN,"ns/op"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt:synchronizedSimpleDateFmt·p0.9999","sample",1,1,11269.302400,NaN,"ns/op"
"org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.synchronizedSimpleDateFmt:synchronizedSimpleDateFmt·p1.00","sample",1,1,1343488.000000,NaN,"ns/op"
