# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersAndLock

# Warmup Iteration  11: 16080385.462 ops/s
# Warmup Iteration  12: 14500979.383 ops/s
# Warmup Iteration  13: 21013403.637 ops/s
# Warmup Iteration  14: 16119447.808 ops/s
# Warmup Iteration  15: 18006436.006 ops/s
# Warmup Iteration  16: 14537468.765 ops/s
# Warmup Iteration  17: 19519307.732 ops/s
# Warmup Iteration  18: 15558005.641 ops/s
# Warmup Iteration  19: 18952709.892 ops/s
# Warmup Iteration  20: 13974966.346 ops/s
Iteration   1: 19204730.220 ops/s
Iteration   2: 21266029.564 ops/s
Iteration   3: 15096753.301 ops/s
Iteration   4: 13812600.628 ops/s
Iteration   5: 21027004.459 ops/s
Iteration   6: 21284291.062 ops/s
Iteration   7: 21281602.270 ops/s
Iteration   8: 15579950.730 ops/s
Iteration   9: 19354779.813 ops/s
Iteration  10: 15426045.690 ops/s
Iteration  11: 16660295.115 ops/s
Iteration  12: 13943874.097 ops/s
Iteration  13: 19335087.336 ops/s
Iteration  14: 15694139.172 ops/s
Iteration  15: 13941501.864 ops/s
Iteration  16: 17906866.447 ops/s
Iteration  17: 20689455.861 ops/s
Iteration  18: 21286171.396 ops/s
Iteration  19: 15755339.724 ops/s
Iteration  20: 13377767.856 ops/s

# Run progress: 8.00% complete, ETA 00:30:59
# Fork: 5 of 10
# Warmup Iteration   1: 19344447.833 ops/s
# Warmup Iteration   2: 20512469.797 ops/s
# Warmup Iteration   3: 21102221.782 ops/s
# Warmup Iteration   4: 21125136.598 ops/s
# Warmup Iteration   5: 21111353.365 ops/s
# Warmup Iteration   6: 19821302.701 ops/s
# Warmup Iteration   7: 19983695.796 ops/s
# Warmup Iteration   8: 18022001.918 ops/s
# Warmup Iteration   9: 19863492.778 ops/s
# Warmup Iteration  10: 20740393.997 ops/s
# Warmup Iteration  11: 20933645.744 ops/s
# Warmup Iteration  12: 21029258.239 ops/s
# Warmup Iteration  13: 21137181.951 ops/s
# Warmup Iteration  14: 21114425.994 ops/s
# Warmup Iteration  15: 21135637.281 ops/s
# Warmup Iteration  16: 21158830.714 ops/s
# Warmup Iteration  17: 21123699.506 ops/s
# Warmup Iteration  18: 21116155.238 ops/s
# Warmup Iteration  19: 21143105.809 ops/s
# Warmup Iteration  20: 21123795.889 ops/s
Iteration   1: 19979221.360 ops/s
Iteration   2: 19914472.054 ops/s
Iteration   3: 21069645.559 ops/s
Iteration   4: 21108623.955 ops/s
Iteration   5: 20937369.270 ops/s
Iteration   6: 20736895.940 ops/s
Iteration   7: 20978677.613 ops/s
Iteration   8: 18882131.642 ops/s
Iteration   9: 19587601.653 ops/s
Iteration  10: 17955119.536 ops/s
Iteration  11: 19442590.234 ops/s
Iteration  12: 21143699.626 ops/s
Iteration  13: 21149697.383 ops/s
Iteration  14: 21141316.540 ops/s
Iteration  15: 21154885.849 ops/s
Iteration  16: 21133703.969 ops/s
Iteration  17: 21134710.912 ops/s
Iteration  18: 19883858.288 ops/s
Iteration  19: 19443941.107 ops/s
Iteration  20: 21138250.758 ops/s

# Run progress: 10.00% complete, ETA 00:30:19
# Fork: 6 of 10
# Warmup Iteration   1: 17893690.236 ops/s
# Warmup Iteration   2: 20510408.717 ops/s
# Warmup Iteration   3: 21077787.898 ops/s
# Warmup Iteration   4: 21076031.088 ops/s
# Warmup Iteration   5: 21070955.831 ops/s
# Warmup Iteration   6: 21070004.410 ops/s
# Warmup Iteration   7: 20951409.385 ops/s
# Warmup Iteration   8: 21078354.116 ops/s
# Warmup Iteration   9: 21119376.703 ops/s
# Warmup Iteration  10: 19682307.911 ops/s
# Warmup Iteration  11: 19816999.007 ops/s
# Warmup Iteration  12: 20978230.874 ops/s
# Warmup Iteration  13: 20956938.603 ops/s
# Warmup Iteration  14: 20960213.140 ops/s
# Warmup Iteration  15: 21038750.419 ops/s
# Warmup Iteration  16: 21043596.612 ops/s
# Warmup Iteration  17: 19050185.267 ops/s
# Warmup Iteration  18: 19186458.343 ops/s
# Warmup Iteration  19: 19833699.881 ops/s
# Warmup Iteration  20: 19882163.759 ops/s
Iteration   1: 21156157.540 ops/s
Iteration   2: 19845820.784 ops/s
Iteration   3: 19304397.220 ops/s
Iteration   4: 19541251.538 ops/s
Iteration   5: 18659987.298 ops/s
Iteration   6: 18219619.762 ops/s
Iteration   7: 20981080.226 ops/s
Iteration   8: 21161229.257 ops/s
Iteration   9: 21136050.340 ops/s
Iteration  10: 21000972.312 ops/s
Iteration  11: 19703420.227 ops/s
Iteration  12: 19311657.521 ops/s
Iteration  13: 20961676.342 ops/s
Iteration  14: 19758284.062 ops/s
Iteration  15: 20082405.223 ops/s
Iteration  16: 21109280.072 ops/s
Iteration  17: 21156058.179 ops/s
Iteration  18: 21157904.370 ops/s
Iteration  19: 21104856.657 ops/s
Iteration  20: 21147566.801 ops/s

# Run progress: 12.00% complete, ETA 00:29:38
# Fork: 7 of 10
